	xml	date	event	catchwords
75	01146-eintrag_vom_1448-04-12.xml	1448-04-12	NULL	nach lautt ains briefs vor | verschriben hat
76	01147-eintrag_vom_1448-04-29.xml	1448-04-29	ev__SB_CD_01147	hat verchaufft | gelts purkechts
77	01148-eintrag_vom_1448-05-17.xml	1448-05-17	ev__SB_CD_01148	hat versaczt
78	01149-eintrag_vom_1448-09-02.xml	1448-09-02	ev__SB_CD_01149	habent versatzt
79	01150-eintrag_vom_1448-03-04.xml	1448-03-04	ev__SB_CD_01150	hat | uber
80	01150-eintrag_vom_1448-03-04.xml	1448-03-04	NULL	uber
81	01239-eintrag_vom_1448-03-13.xml	1448-03-13	ev__SB_CD_01239	hat versaczt
82	01240-eintrag_vom_1448-03-15.xml	1448-03-15	ev__SB_CD_01240	hat versaczt
83	00350-eintrag_vom_1448-04-10.xml	1448-04-10	ev__SB_CD_00350	hat versaczt
84	00615-eintrag_vom_1448-06-26.xml	1448-06-26	ev__SB_CD_00615	habent versaczt
85	00967-eintrag_vom_1448-06-19.xml	1448-06-19	ev__SB_CD_00967	hat versaczt
86	01241-eintrag_vom_1448-06-21.xml	1448-06-21	ev__SB_CD_01241	habent verchaufft | gelts purkrechts
87	01242-eintrag_vom_1448-11-15.xml	1448-11-15	ev__SB_CD_01242	habent versaczt
88	01243-eintrag_vom_1448-09-13.xml	1448-09-13	ev__SB_CD_01243	hat versaczt | versaczt hat
89	01243-eintrag_vom_1448-09-13.xml	1448-09-13	NULL	versaczt hat
90	01429-eintrag_vom_1448-02-20.xml	1448-02-20	ev__SB_CD_01429	habent versaczt | jerlich dint | zu purkrecht
91	01429-eintrag_vom_1448-02-20.xml	1448-02-20	NULL	jerlich dint | zu purkrecht
92	01430-eintrag_vom_1448-03-04.xml	1448-03-04	ev__SB_CD_01430	habent versaczt
93	01431-eintrag_vom_1448-07-08.xml	1448-07-08	ev__SB_CD_01431	hat verchaufft | gelts purkrechts | jerlich dint | nach lautt ains briefs | sind emalen gelegen auf
94	01431-eintrag_vom_1448-07-08.xml	1448-07-08	NULL	jerlich dint | nach lautt ains briefs
95	01431-eintrag_vom_1448-07-08.xml	1448-07-08	NULL	sind emalen gelegen auf
96	01432-eintrag_vom_1448-07-10.xml	1448-07-10	ev__SB_CD_01432	hat verchaufft | gelts purkrechts | jerlich dint | nach lautt ains briefs | jerlich dint
97	01432-eintrag_vom_1448-07-10.xml	1448-07-10	NULL	jerlich dint | nach lautt ains briefs
98	01432-eintrag_vom_1448-07-10.xml	1448-07-10	ev__SB_CD_01431	jerlich dint
99	01433-eintrag_vom_1448-07-29.xml	1448-07-29	ev__SB_CD_01433	habent versaczt
100	01434-eintrag_vom_1448-06-14.xml	1448-06-14	ev__SB_CD_01434	hat versaczt | uber die | gelts purkrechts | vor darauf hat | und uber die | darauf habent
101	01434-eintrag_vom_1448-06-14.xml	1448-06-14	NULL	uber die | gelts purkrechts | vor darauf hat
102	01434-eintrag_vom_1448-06-14.xml	1448-06-14	NULL	und uber die | darauf habent
103	01686-eintrag_vom_1448-04-22.xml	1448-04-22	ev__SB_CD_01686	habent versaczt
104	01687-eintrag_vom_1448-05-27.xml	1448-05-27	ev__SB_CD_01687	habent versaczt
105	01693-eintrag_vom_1448-12-13.xml	1448-12-13	ev__SB_CD_01693	hat versatzt | darumb es emaln | verphent ist
106	01693-eintrag_vom_1448-12-13.xml	1448-12-13	NULL	darumb es emaln | verphent ist
107	01693a-eintrag_vom_1448.xml	1448-01-01	ev__SB_CD_01693a	habent versaczt | jerlich dint | zu purkrecht
108	01693a-eintrag_vom_1448.xml	1448-01-01	NULL	jerlich dint | zu purkrecht
109	01767-eintrag_vom_1448-06-23.xml	1448-06-23	ev__SB_CD_01767	hat verkaufft | gelts purkrechts | mess | gestifft hat
110	01767-eintrag_vom_1448-06-23.xml	1448-06-23	NULL	mess | gestifft hat
111	01768-eintrag_vom_1448-06-28.xml	1448-06-28	ev__SB_CD_01768	hat versaczt
112	01840-eintrag_vom_1448-04-19.xml	1448-04-19	ev__SB_CD_01840	habent versatzt
113	01841-eintrag_vom_1448-08-13.xml	1448-08-13	ev__SB_CD_01841	hat versatzt
114	01842-eintrag_vom_1448-11-27.xml	1448-11-27	ev__SB_CD_01842	hat verkaufft | geltes purkrechts | jerlich dint | zu purkrecht
115	01842-eintrag_vom_1448-11-27.xml	1448-11-27	NULL	jerlich dint | zu purkrecht
116	01926-eintrag_vom_1448-12-20.xml	1448-12-20	ev__SB_CD_01926	hat versatzt | jerlich dint | zu gruntdinst
117	01926-eintrag_vom_1448-12-20.xml	1448-12-20	NULL	jerlich dint | zu gruntdinst
