	off	normed	Person	Related Person	Regest	Year	Date	from	to
87	prior	Prior_in	pe__niklas_von_neuburg_QGW_II_I_1524	org__karmeliter	1524	1403	1403-02-05		
88	burgermaister	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1525	1403	1403-02-14		
89	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1526	1403	1403-02-16		
90	pharrer	Pfarrer	pe__heinrich_QGW_II_I_1527	org__st_ulrich	1527	1403	1403-03-01		
91	Schottenabtes	Abt_in	pe__thomas_QGW_II_I_1527	org__schotten	1527	1403	1403-03-01		
92	Lehensherrn	Lehensherr_frau	pe__thomas_QGW_II_I_1527	org__st_ulrich	1527	1403	1403-03-01		
93	Bürgermeisters	Buergermeister	pe__paul_wuerfel	org__wien	1529	1403	1403-03-13		
94	aussern rats der stat	Ratsherr_aeusserer	pe__konrad_bei_dem_gottesacker	org__wien	1529	1403	1403-03-13		
95	purgermaister	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1530	1403	1403-03-14		
96	Stadtschreibers	Stadtschreiber	pe__ulrich_herwart	org__wien	1530	1403	1403-03-14		
97	rats der stat ze Wienn	Ratsherr	pe__leonhard_von_moedling	org__wien	1531	1403	1403-03-19		
98	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1532	1403	1403-03-20		
99	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1533	1403	1403-03-28		
100	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1535	1403	1403-04-23		
101	amptman	Amtmann	pe__stephan_reutter_QGW_II_I_1536	pe__rudolf_von_wallsee	1536	1403	1403-04-27		
102	herzog	Herzog_in	pe__wilhelm_herzog_von_oesterreich	org__oesterreich_herzogtum	1536	1403	1403-04-27		
103	hofmeister	Hofmeister	pe__rudolf_von_wallsee	pe__wilhelm_herzog_von_oesterreich	1536	1403	1403-04-27		
104	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1536	1403	1403-04-27		
105	pergmaister	Bergmeister	pe__heinrich_ramler	pe__kolomann_QGW_II_I_1537	1537	1403	1403-04-30		
106	pharrer	Pfarrer	pe__kolomann_QGW_II_I_1537	org__lassee_pfarre	1537	1403	1403-04-30		
107	aussern rats	Ratsherr_aeusserer	pe__niklas_von_der_schemnitz_III	org__wien	1538	1403	1403-05-02		
108	aussern rats der stat ze Wienn	Ratsherr_aeusserer	pe__wolfhard_der_pfeilschnitzer_QGW_II_I_1538	org__wien	1538	1403	1403-05-02		
109	werchman	Gewaehrsmann	pe__ulrich_warnhofer_QGW_II_I_1538	org__wien	1538	1403	1403-05-02		
110	werchman	Gewaehrsmann	pe__peter_der_zimmermann_QGW_II_I_1538	org__wien	1538	1403	1403-05-02		
111	rats der stat ze Wienn	Ratsherr	pe__leonhard_von_moedling	org__wien	1539	1403	1403-05-10		
112	aussern rats	Ratsherr_aeusserer	pe__konrad_hemler	org__wien	1539	1403	1403-05-10		
113	aussern rats	Ratsherr_aeusserer	pe__georg_von_nikolsburg	org__wien	1540	1403	1403-05-23		
114	Stadtschreibers	Stadtschreiber	pe__ulrich_herwart	org__wien	1540	1403	1403-05-23		
115	rates der stat	Ratsherr	pe__konrad_vorlauf	org__wien	1541	1403	1403-05-23		
116	Kanzler	Kanzler	pe__berthold_von_freising	pe__wilhelm_herzog_von_oesterreich	1542 a	1403	1403-06-09		
117	Bischof	Bischof	pe__berthold_von_freising	org__freising_dioezese	1542 a	1403	1403-06-09		
118	Hofmeister	Hofmeister	pe__rudolf_von_wallsee	pe__wilhelm_herzog_von_oesterreich	1542 a	1403	1403-06-09		
119	Landmarschall	Landmarschall	pe__friedrich_von_wallsee	pe__wilhelm_herzog_von_oesterreich	1542 a	1403	1403-06-09		
120	Hofmeister	Hofmeister	pe__friedrich_von_stubenberg_QGW_II_I_1542a	pe__albrecht_iii_herzog_von_oesterreich	1542 a	1403	1403-06-09		
121	purgermaister	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1542	1403	1403-05-29		
122	ambtman	Amtmann	pe__herbert_in_der_scheffstraße	pe__beatrix_von_zollern_nuernberg	1542	1403	1403-05-29		
123	kapellan	Kaplan	pe__wolfgang_ringshentl	org__st_michael	1542	1403	1403-05-29		
124	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1542	1403	1403-05-29		
125	rats der stat	Ratsherr	pe__niklas_valich	org__wien	1544	1403	1403-06-27		
126	rats der stat	Ratsherr	pe__pilgrim_drischler_QGW_II_I_1544	org__wien	1544	1403	1403-06-27		
127	prior	Prior_in	pe__niklas_von_neuburg_QGW_II_I_1524	org__karmeliter	1545	1403	1403-06-28		
128	bischof	Bischof	pe__berthold_QGW_II_I_1545	org__freising_dioezese	1545	1403	1403-06-28		
129	amptman	Amtmann	pe__andreas_an_dem_st_petersfreithof	pe__anton_QGW_II_I_1223	1546	1403	1403-07-02		
130	brobst	Propst	pe__anton_QGW_II_I_1223	org__st_stephan	1546	1403	1403-07-02		
131	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1547	1403	1403-07-03		
132	Stadtschreibers	Stadtschreiber	pe__ulrich_herwart	org__wien	1547	1403	1403-07-03		
133	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1548	1403	1403-07-05		
134	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1550	1403	1403-08-16		
135	Kaplan	Kaplan	pe__dietrich_QGW_II_I_1363	org__st_stephan	1550	1403	1403-08-16		
136	aussern rats der stat	Ratsherr_aeusserer	pe__georg_von_nikolsburg	org__wien	1550	1403	1403-08-16		
137	chaplan	Kaplan	pe__pilgrim_QGW_II_I_1552_a	pe__rudolf_von_tierna	1552	1403	1403-08-21		
138	pergmaister	Bergmeister	pe__leonhard_QGW_II_I_1553	org__mauerbach_kartaeuser	1553	1403	1403-09-01		
139	verweser	Verweser	pe__ulrich_wolf	NULL	1553	1403	1403-09-01		
140	prior	Prior_in	pe__hugo_QGW_II_I_1553	org__mauerbach_kartaeuser	1553	1403	1403-09-01		
141	rates der stat	Ratsherr	pe__niklas_valich	org__wien	1553	1403	1403-09-01		
142	Schottenabtes	Abt_in	pe__thomas_QGW_II_I_1527	org__schotten	1554	1403	1403-09-06		
143	Kaplan	Kaplan	pe__peter_QGW_II_I_1554	org__st_stephan	1554	1403	1403-09-06		
144	cantor	Kantor	pe__peter_QGW_II_I_1554	org__st_stephan	1554	1403	1403-09-06		
145	herzogin ze Osterreich	Herzog_in	pe__beatrix_von_zollern_nuernberg	org__oesterreich_herzogtum	1554	1403	1403-09-06		
146	amptman	Amtmann	pe__herbert_in_der_scheffstraße	pe__beatrix_von_zollern_nuernberg	1554	1403	1403-09-06		
147	burgermaister	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1555	1403	1403-09-07		
148	conventbruder	Bruder	pe__simon_QGW_II_I_1555	org__raab_dominikaner	1555	1403	1403-09-07		
149	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1556	1403	1403-09-13		
150	innern rats	"Ratsherr_innerer
"	pe__ruediger_snurer_QGW_II_I_1557	org__wien	1557	1403	1403-09-14		
151	innern rats	"Ratsherr_innerer
"	pe__martin_hausleitter	org__wien	1557	1403	1403-09-14		
152	aussern rats	Ratsherr_aeusserer	pe__meinhard_der_pfeilschnitzer_QGW_II_I_1557	org__wien	1557	1403	1403-09-14		
153	abt	Abt_in	pe__engel_QGW_II_I_1558	org__rein_zisterzienser	1558	1403	1403-09-29		
154	rats der stat ze Wienn	Ratsherr	pe__paul_geir	org__wien	1560	1403	1403-10-05		
155	rats der stat ze Wienn	Ratsherr	pe__johann_ziernast	org__wien	1560	1403	1403-10-05		
156	rats der stat ze Wienn	Ratsherr	pe__johann_veltsperger	org__wien	1560	1403	1403-10-05		
157	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1562	1403	1403-10-12		
158	kapellan	Kaplan	pe__andreas_von_zwettl	org__st_stephan	1562	1403	1403-10-12		
159	aussern rats	Ratsherr_aeusserer	pe__johann_fuechsel	org__wien	1562	1403	1403-10-12		
160	burgermaister	Buergermeister	pe__konrad_vorlauf	org__wien	1564	1403	1403-11-23		
161	kamrer	Kaemmerer	pe__martin_hausleitter	org__wien	1564	1403	1403-11-23		
162	pergmaister	Bergmeister	pe__johann_von_stranning	org__herzog	1566	1403	1403-12-29		
163	amptman	Amtmann	pe__niklas_koller	pe__ulrich_QGW_II_I_1566	1566	1403	1403-12-29		
164	pharrer	Pfarrer	pe__ulrich_QGW_II_I_1566	org__moedling_pfarre	1566	1403	1403-12-29		
165	ausrichter	Geschaeftsherr	pe__georg_neuer	org__schreiberzeche_auf_dem_neuen_karner	1566	1403	1403-12-29		
166	verweser	Verweser	pe__georg_neuer	org__schreiberzeche_auf_dem_neuen_karner	1566	1403	1403-12-29		
167	amptman	Amtmann	pe__niklas_wuerfel_von_nussdorf	org__klosterneuburg_augustinerchorherren	1567	1404	1404-01-05		
168	chaplan	Kaplan	pe__leopold_QGW_II_I_1567	org__st_stephan	1567	1404	1404-01-05		
169	Bischof	Bischof	pe__georg_von_passau	org__passau_dioezese	1568	1404	1404-01-16		
170	chaplan	Kaplan	pe__michael_frankch	org__st_johannes_in_der_burg	1569	1404	1404-01-17		
171	burgermaister	Buergermeister	pe__konrad_vorlauf	org__wien	1570	1404	1404-01-17		
172	Bischof	Bischof	pe__georg_von_passau	org__passau_dioezese	1571	1404	1404-01-18		
173	Pfarrer	Pfarrer	pe__martin_QGW_II_I_1571	org__rainbach_pfarre	1571	1404	1404-01-18		
174	spitalmaister	Spitalmeister	pe__johann_ziernast	org__buergerspital	1573	1404	1404-01-24		
175	mu/enzmaister	Muenzmeister	pe__dietrich_prenner	org__herzog	1573	1404	1404-01-24		
176	rats der stat	Ratsherr	pe__jakob_guens_ii	org__wien	1574	1404	1404-01-26		
