	ref	regest	Regest Text	reg Name	type	observance	fn role	Events ref	regest date	from	to	year	fromyear	toyear
154	org__wien	1580	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1580	1404-04-21			1404		
155	org__st_hieronymus	1581	haus dacz sand Jeronimus, gelegen in der Su/enigerstrass	 	Kloster_f	OSMM	recipient	#ev__QGW_II_I_1581	1404-04-22			1404		
156	org__deutsche_herren	1587	Deutschen Hauses	Deutsche Herren	Kloster_m	OT	witness	#ev__QGW_II_I_1587	1404-06-09			1404		
157	org__wien	1592	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1592	1404-09-04			1404		
158	org__wien	1592	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1592	1404-09-04			1404		
159	org__wien	1594	Stadt Wien	Wien	Stadt	 	reccipient	#ev__QGW_II_I_1594	1404-09-11			1404		
160	org__wien	1596	baid rêt, der inner und der ausser, und die ganz gemain der stat zu Wienn	Wien	Stadt	 	issuer	#ev__QGW_II_I_1596	1404-10-14			1404		
161	org__wien	1596	stat ze Wienn	Wien	Stadt	 	witness	#ev__QGW_II_I_1596	1404-10-14			1404		
162	org__st_stephan	1597	Messe	St. Stephan	Kirche_Kapelle	 	other	#ev__QGW_II_I_1597	1404-10-25			1404		
163	org__wien	1597	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1597	1404-10-25			1404		
164	org__wien	1597	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1597	1404-10-25			1404		
165	org__wien	1598	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1598	1404-10-25			1404		
166	org__wien	1598	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1598	1404-10-25			1404		
167	org__wien	1603	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1603	1404-11-04			1404		
168	org__wien	1603	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1603	1404-11-04			1404		
169	org__wien	1605	Bürgermeister zu Wien	Wien	Stadt	 	recipient	#ev__QGW_II_I_1605	1404-11-27			1404		
170	org__wien	1606	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1606	1404-12-11			1404		
171	org__wien	1606	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1606	1404-12-11			1404		
172	org__st_stephan	1607	sand Dorethen altar daselbs der ewigen messe, die in der Schu/eler zeche gehöret	St. Stephan	Kirche_Kapelle	 	None	#ev__QGW_II_I_1607_a	1404-12-13			1404		
173	org__st_paul_erdberg	1608	sand Paul ze Erdpurkch bei Wienn	Erdberg - St. Paul	Kirche_Kapelle	 	None	#ev__QGW_II_I_1608	1404-12-15			1404		
174	org__st_paul_erdberg	1608	Kirche von S. Paul	Erdberg - St. Paul	Kirche_Kapelle	 	witness	#ev__QGW_II_I_1608	1404-12-15			1404		
