	ref	Regest Text	reg Name	Sex	Titles	Titles norm	Titles ref	Titles ref norm	Professions	Professions norm	staff	staff norm	off	off norm	fn role	Events ref	regest	regest date	from	to	dead	earliest possible death	year	fromyear	toyear
508	pe__konrad_gruenwalder	Wiener Bürger Chunraten dem Grünwalder	Konrad Grünwalder	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
509	pe__stephan_leitner	Ausstellers	Stephan Leitner	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
510	pe__johann_ziernast	hern Hannsen des Ziernast rats der stat ze Wienn	Johann Ziernast	m	hern	Herr	 	 	 	 	 	 	rats der stat ze Wienn	Ratsherr	witness	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
511	pe__johann_veltsperger	hern Hannsen des Veltsperger, baid des rats der stat ze Wienn	Johann Veltsperger Feldsberg	m	hern	Herr	 	 	 	 	 	 	rats der stat ze Wienn	Ratsherr	witness	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
512	pe__johann_von_ernstbrunn	Hanns von Ernsprunn, cho/erherr Unser Vraun gotshaus ze Neunburch klosterhalben	Johann von Ernstbrunn von Ernstbrunn	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1561	1561	1403-10-10			False	 	1403		
513	pe__katharina_QGW_II_I_1561	Ulreichen Velenbrunner sa/eligen tachter wegen, junkchfraun Kathrein, die noch nicht vogtpa/erig ist	Katharina von Fellabrunn	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1561	1561	1403-10-10			False	 	1403		
514	pe__ulrich_von_fellabrunn	Ulreichen Velenbrunner sa/eligen	Ulrich von Fellabrunn von Fellabrunn	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1561	1561	1403-10-10			True	[datetime.date(1403, 10, 10)]	1403		
515	pe__johann_von_ernstbrunn	Ausstellers	Johann von Ernstbrunn von Ernstbrunn	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1561	1561	1403-10-10			False	 	1403		
516	pe__cirvos_tutz	Cirvosen des Tu/etzen purger ze Neunburch	Cirvos Tutz de Tutz	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1561	1561	1403-10-10			False	 	1403		
517	pe__johann_stekch_ii	Hannsen des Steckchen, paid purger ze Neunburch	Johann Stekch Stekch II	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1561	1561	1403-10-10			False	 	1403		
518	pe__paul_zwivaler	Paul der Zwivaler ze Wienn	Paul Zwivaler der Zwivaler zu Wien	m	 	 	 	 	Zwivaler	 	 	 	 	 	issuer	#ev__QGW_II_I_1562	1562	1403-10-12			False	 	1403		
519	pe__anna_QGW_II_I_1562	Ann, seine Hausfrau	Anna Zwivaler	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1562	1562	1403-10-12			False	 	1403		
520	pe__haunold_schuchler_II_QGW_II_I_1557	Bürgermeisters hern Haunolden des Schuchler	Haunold Schuchler der Jüngere II	m	hern	Herr	 	 	 	 	 	 	Bürgermeisters	Buergermeister	other	#ev__QGW_II_I_1562	1562	1403-10-12			False	 	1403		
521	pe__andreas_von_zwettl	Priester hern Andren von Zwetl kapellan der Aindleftausent Maid altar, gelegen in sand Stephans tumkirchen ze Wienn	Andreas von Zwettl	m	hern	Herr	 	 	Priester	Priester	 	 	kapellan	Kaplan	recipient	#ev__QGW_II_I_1562	1562	1403-10-12			False	 	1403		
522	pe__johann_fuechsel	Hannsen des Fu/echsleins, des aussern rats der stat ze Wienn	Johann Füchsel	m	 	 	 	 	 	 	 	 	aussern rats	Ratsherr_aeusserer	witness	#ev__QGW_II_I_1562	1562	1403-10-12			False	 	1403		
523	pe__margarethe_QGW_II_I_1563	Margret, witib Simons witib des Abels von Nosen in Sibenbürgen	Margarethe Abel die Siebenbürgerin	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1563	1563	1403-11-10			False	 	1403		
524	pe__simon_abel_von_nosen_in_siebenbuergen	Simons witib des Abels von Nosen in Sibenbürgen	Simon Abel von Nosen in Siebenbürgen	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1563	1563	1403-11-10			True	[datetime.date(1403, 11, 10)]	1403		
525	pe__margarethe_QGW_II_I_1563	Ausstellerin	Margarethe Abel die Siebenbürgerin	f	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1563	1563	1403-11-10			False	 	1403		
526	pe__friedrich_dietram	Wiener Bürger 2. Fridreichs des Dietrams	Friedrich Dietram Dietram	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1563	1563	1403-11-10			False	 	1403		
527	pe__johann_mosprunner	Wiener Bürger Hannsen des Mosprunner	Johann Mosprunner Mosprunner	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1563	1563	1403-11-10			False	 	1403		
528	pe__konrad_vorlauf	Chunrat der Vorlauf, burgermaister ze Wienn	Konrad Vorlauf Vorlauf	m	 	 	 	 	 	 	 	 	burgermaister	Buergermeister	issuer	#ev__QGW_II_I_1564	1564	1403-11-23			False	 	1403		
529	pe__martin_hausleitter	Mert der Hausleitter, kamrer daselbs	Martin Hausleitter	m	 	 	 	 	 	 	 	 	kamrer	Kaemmerer	issuer	#ev__QGW_II_I_1564	1564	1403-11-23			False	 	1403		
530	pe__seidel_der_jud_QGW_II_I_1564	Seidlein, dem Juden, sun Smoyels sun von der Neunstat	Seidel Seidl Seydel der Jud	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1564	1564	1403-11-23			False	 	1403		
531	pe__smoyel_der_jud_QGW_II_I_1564	Smoyels sun von der Neunstat	Smoyel der Jud von Wiener-Neustadt	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1564	1564	1403-11-23			False	 	1403		
532	pe__konrad_vorlauf	Ausstellern	Konrad Vorlauf Vorlauf	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1564	1564	1403-11-23			False	 	1403		
533	pe__martin_hausleitter	Ausstellern	Martin Hausleitter	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1564	1564	1403-11-23			False	 	1403		
534	pe__rudolf_von_tierna	Rudolf	Rudolf von Tierna von Tierna	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1565	1565	1403-11-27			False	 	1403		
535	pe__ludwig_von_tierna	Ludweig, gebrüder von Tyrna	Ludwig von Tierna von Tierna	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1565	1565	1403-11-27			False	 	1403		
536	pe__niklas_rorcholb	Wiener Bürger Niclasen dem Rorkolb	Niklas Rorcholb	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1565	1565	1403-11-27			False	 	1403		
537	pe__rudolf_von_tierna	Ausstellern	Rudolf von Tierna von Tierna	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1565	1565	1403-11-27			False	 	1403		
538	pe__ludwig_von_tierna	Ausstellern	Ludwig von Tierna von Tierna	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1565	1565	1403-11-27			False	 	1403		
539	pe__paul_wuerfel	Wiener Bürger Pauln dem Würffel	Paul Würfel Würfel	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1565	1565	1403-11-27			False	 	1403		
540	pe__thomas_englisch	Thoman Englisch, purger ze Wienn	Thomas Englisch	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
541	pe__katharina_QGW_II_I_1566	Kathrei, seine Hausfrau	Katharina Englisch	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
542	pe__johann_von_stranning	Hannsen von Strenikch, pergmaister ze Medling herzog Wilhalms und herzog Albrechts, gevettern,	Johann von Stranning	m	 	 	 	 	 	 	 	 	pergmaister	Bergmeister	other	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
543	pe__niklas_koller	Niclas des Koller, amptman hern Ulreichs, pharrer der pharrkirichen ze Medling	Niklas Koller	m	hern	Herr	 	 	 	 	 	 	amptman; pharrer	Amtmann; Pfarrer	other	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
544	pe__ulrich_QGW_II_I_1566	hern Ulreichs, pharrer der pharrkirichen ze Medling	Ulrich	m	hern	Herr	 	 	 	 	 	 	pharrer	Pfarrer	other	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
545	pe__georg_neuer	Wiener Bürger Jo/ergen dem Neuer, ausrichter und verweser der pruederschaft auf dem neun Charner dacz sand Stephan ze Wienn	Georg Neuer Neuer	m	 	 	 	 	 	 	 	 	ausrichter; verweser	Geschaeftsherr; Verweser	recipient	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
546	pe__thomas_englisch	Ausstellers	Thomas Englisch	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
547	pe__ulrich_QGW_II_I_1566	Pfarrers von Mödling	Ulrich	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
548	pe__jakob_waicz	Wiener Bürgers Jacobs des Waiczen	Jakob Waicz Waicz	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1566	1566	1403-12-29			False	 	1403		
549	pe__stephan_weinreich_zu_nussdorf	Stephan der Weinreich ze Nustorf	Stephan Weinreich der Weinreich zu Nussdorf	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1567	1567	1404-01-05			False	 	1404		
550	pe__niklas_wuerfel_von_nussdorf	Niklas des Würffels, amptman des klosters ze Neunburkch	Niklas Würfel von Nussdorf	m	 	 	 	 	 	 	 	 	amptman	Amtmann	other	#ev__QGW_II_I_1567	1567	1404-01-05			False	 	1404		
551	pe__leopold_QGW_II_I_1567	Priester hern Leupolten, chaplan der chaplanei, die Jo/erg der Nustorffer, dem got gnad geschafft hat hinz sand Stephan ze Wienn, zu dieser Kaplanei	Leopold	m	hern	Herr	 	 	Priester	Priester	 	 	chaplan	Kaplan	recipient	#ev__QGW_II_I_1567	1567	1404-01-05			False	 	1404		
552	pe__georg_nussdorfer	Jo/erg der Nustorffer, dem got gnad	Georg Nussdorfer Nussdorfer	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1567	1567	1404-01-05			True	[datetime.date(1401, 7, 9)]	1404		
553	pe__stephan_weinreich_zu_nussdorf	Ausstellers	Stephan Weinreich der Weinreich zu Nussdorf	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1567	1567	1404-01-05			False	 	1404		
554	pe__niklas_wuerfel_von_nussdorf	Amtmannes	Niklas Würfel von Nussdorf	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1567	1567	1404-01-05			False	 	1404		
555	pe__margarethe_chranvogelin	Margareta dicta Chronfoglin	Margarethe Chranvogelin	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1568	1568	1404-01-16			False	 	1404		
556	pe__georg_von_passau	Bischof Georg von Passau	Georg von Passau von Passau	m	 	 	 	 	 	 	 	 	Bischof	Bischof	recipient	#ev__QGW_II_I_1568	1568	1404-01-16			False	 	1404		
557	pe__liebhard_von_regensburg_QGW_II_I_1591	Priester Liebhard von Regensburg	Liebhard von Regensburg	m	 	 	 	 	Priester	Priester	 	 	 	 	other	#ev__QGW_II_I_1568	1568	1404-01-16			False	 	1404		
558	pe__kolomann_chranvogel	Cholomannus	Kolomann Chranvogel	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1568	1568	1404-01-16			False	 	1404		
559	pe__jakob_chranvogel	Jacobus	Jakob Chranvogel	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1568	1568	1404-01-16			False	 	1404		
560	pe__niklas_rorcholb	Niclas der Rorkolb, purger ze Wienn	Niklas Rorcholb	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1569	1569	1404-01-17			False	 	1404		
561	pe__michael_frankch	Bergherrn hern Michels des Frankchen, chaplan Unser Vraun und sand Johanns chapellen, gelegen in der herzogen Purkch ze Wienn	Michael Frankch	m	Bergherrn; hern	Bergherr_frau; Herr	 	 	 	 	 	 	chaplan	Kaplan	other	#ev__QGW_II_I_1569	1569	1404-01-17			False	 	1404		
562	pe__niklas_rorcholb	Ausstellers	Niklas Rorcholb	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1569	1569	1404-01-17			False	 	1404		
563	pe__michael_frankch	Bergherrn	Michael Frankch	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1569	1569	1404-01-17			False	 	1404		
564	pe__paul_wuerfel	Wiener Bürgers Pauln des Wu/erffels	Paul Würfel Würfel	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1569	1569	1404-01-17			False	 	1404		
565	pe__konrad_vorlauf	Chunrat der Vorlauf, burgermaister	Konrad Vorlauf Vorlauf	m	 	 	 	 	 	 	 	 	burgermaister	Buergermeister	issuer	#ev__QGW_II_I_1570	1570	1404-01-17			False	 	1404		
566	pe__oswald_pauch	Mitbürger Oswalten dem Pauch, dem goltsmid	Oswald Pauch der Goldschmied	m	 	 	 	 	goltsmid	Goldschmied	 	 	 	 	recipient	#ev__QGW_II_I_1570	1570	1404-01-17			False	 	1404		
567	pe__georg_von_passau	Bischof Georg von Passau	Georg von Passau von Passau	m	 	 	 	 	 	 	 	 	Bischof	Bischof	issuer	#ev__QGW_II_I_1571	1571	1404-01-18			False	 	1404		
568	pe__martin_QGW_II_I_1571	Pfarrer Martin in Rainpach	Martin	m	 	 	 	 	 	 	 	 	Pfarrer	Pfarrer	recipient	#ev__QGW_II_I_1571	1571	1404-01-18			False	 	1404		
569	pe__konrad_hainfelder_QGW_II_I_1572	Chunrat der Hainvelder, Chunrats prueder des pierpreuer dem got gnad	Konrad Hainfelder	m	 	 	 	 	pierpreuer	 	 	 	 	 	issuer	#ev__QGW_II_I_1572	1572	1404-01-18			False	 	1404		
570	pe__konrad_der_bierbrauer_QGW_II_I_1572	Chunrats prueder des pierpreuer dem got gnad	Konrad der Bierbrauer	m	 	 	 	 	pierpreuer	 	 	 	 	 	issuer	#ev__QGW_II_I_1572	1572	1404-01-18			True	[datetime.date(1404, 1, 18)]	1404		
571	pe__dietrich_der_zimmermann_QGW_II_I_1572	Dietreich, der zimerman von Hainveld , ir baider vetter vetter	Dietrich der Zimmermann von Hainfeld	m	 	 	 	 	zimerman	Zimmerman	 	 	 	 	issuer	#ev__QGW_II_I_1572	1572	1404-01-18			False	 	1404		
572	pe__stephan_der_pechrer_QGW_II_I_1559	Stephan, dem pechrer purger ze Wienn	Stephan der pechrer	m	 	 	 	 	pechrer	Pechbrenner	 	 	 	 	other	#ev__QGW_II_I_1572	1572	1404-01-18			False	 	1404		
573	pe__christine_QGW_II_I_1559	Hausfrau Kristein, der Witwe Chunrats, des pierpreuer Witwe	Christine	f	 	 	 	 	pierpreuer	 	 	 	 	 	other	#ev__QGW_II_I_1572	1572	1404-01-18			False	 	1404		
574	pe__konrad_der_bierbrauer_QGW_II_I_1572	Chunrats, des pierpreuer Witwe	Konrad der Bierbrauer	m	 	 	 	 	pierpreuer	 	 	 	 	 	other	#ev__QGW_II_I_1572	1572	1404-01-18			True	[datetime.date(1404, 1, 18)]	1404		
575	pe__hermann_von_eslarn_ii	Wiener Bürger Hermans von Eslarn	Hermann von Eslarn von Eslarn II	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1572	1572	1404-01-18			False	 	1404		
576	pe__andreas_ris	Bürger Andres des Rysen	Andreas Ris	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1572	1572	1404-01-18			False	 	1404		
577	pe__katharina_QGW_II_I_1598	Kathrei, hausfrau Hannsen hausfrau, des mu/enzer	Katharina	f	 	 	 	 	mu/enzer	 	 	 	 	 	issuer	#ev__QGW_II_I_1573	1573	1404-01-24			False	 	1404		
578	pe__johann_der_muenzer_QGW_II_I_1598	Hannsen hausfrau, des mu/enzer	Johann der Münzer	m	 	 	 	 	mu/enzer	 	 	 	 	 	issuer	#ev__QGW_II_I_1573	1573	1404-01-24			False	 	1404		
579	pe__johann_ziernast	hern Hannsen des Ziernast, spitalmaister der purger Spital ze Wienn	Johann Ziernast	m	hern	Herr	 	 	 	 	 	 	spitalmaister	Spitalmeister	other	#ev__QGW_II_I_1573	1573	1404-01-24			False	 	1404		
580	pe__dietrich_prenner	hern Dietreichs des Premier, mu/enzmaister ze Wienn	Dietrich Prenner Prenner	m	hern	Herr	 	 	 	 	 	 	mu/enzmaister	 	witness	#ev__QGW_II_I_1573	1573	1404-01-24			False	 	1404		
581	pe__jakob_guens_ii	Jacob der Gu/enser rats der stat	Jakob Güns II	m	 	 	 	 	 	 	 	 	rats der stat	Ratsherr	issuer	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
582	pe__klaus_preuzz_QGW_II_I_1574	Chlaus der Preuz/zz/z baid des rats der stat ze Wienn	Klaus preuzz	m	 	 	 	 	 	 	 	 	rats der stat	Ratsherr	issuer	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
583	pe__georg_von_nikolsburg	Jo/erig von Nicolspurgkch aussern rats der stat	Georg von Nikolsburg	m	 	 	 	 	 	 	 	 	aussern rats der stat	Ratsherr_aeusserer	issuer	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
584	pe__jakob_der_wachsgiesser_QGW_II_I_1403	Jacob, der wachsgiesser, des aussern rats der stat daselbs	Jakob der wachsgiesser der Wachsgiesser	m	 	 	 	 	 	 	 	 	aussern rats der stat	Ratsherr_aeusserer	issuer	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
585	pe__peter_vogel_QGW_II_I_1574	Petrein dem Vogl, purger zu der Neunstat	Peter Vogel von Wiener-Neustadt	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
586	pe__katharina_QGW_II_I_1574	Hausfrau Kathrein	Katharina Vogel von Wiener-Neustadt	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
587	pe__johann_hoflich_QGW_II_I_1574	Hannsen dem Hoflich, purger daselbens	Johann Hoflich von Wiener-Neustadt	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
588	pe__elisabeth_QGW_II_I_1574	Hausfrau Elsbeten	Elisabeth Hoflich von Wiener-Neustadt	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
589	pe__jakob_guens_ii	Ausstellern	Jakob Güns II	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
590	pe__klaus_preuzz_QGW_II_I_1574	Ausstellern	Klaus preuzz	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
591	pe__georg_von_nikolsburg	Ausstellern	Georg von Nikolsburg	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1574	1574	1404-01-26			False	 	1404		
592	pe__konrad_vorlauf	Chunrat der Vorlauf, burgermaister	Konrad Vorlauf Vorlauf	m	 	 	 	 	 	 	 	 	burgermaister	Buergermeister	issuer	#ev__QGW_II_I_1575	1575	1404-01-29			False	 	1404		
593	pe__jakob_guens_ii	Jacob der Gu/enser rats der stat	Jakob Güns II	m	 	 	 	 	 	 	 	 	rats der stat	Ratsherr	recipient	#ev__QGW_II_I_1575	1575	1404-01-29			False	 	1404		
594	pe__klaus_preuzz_QGW_II_I_1574	Chlaus der Preuz/zz/z baid des rats der stat ze Wienn	Klaus preuzz	m	 	 	 	 	 	 	 	 	rats der stat	Ratsherr	recipient	#ev__QGW_II_I_1575	1575	1404-01-29			False	 	1404		
595	pe__georg_von_nikolsburg	Jo/erig von Nicolspurgkch aussern rats der stat	Georg von Nikolsburg	m	 	 	 	 	 	 	 	 	aussern rats der stat	Ratsherr_aeusserer	recipient	#ev__QGW_II_I_1575	1575	1404-01-29			False	 	1404		
596	pe__jakob_der_wachsgiesser_QGW_II_I_1403	Jacob, der wachsgiesser, des aussern rats der stat daselbs	Jakob der wachsgiesser der Wachsgiesser	m	 	 	 	 	 	 	 	 	aussern rats der stat	Ratsherr_aeusserer	recipient	#ev__QGW_II_I_1575	1575	1404-01-29			False	 	1404		
597	pe__erhard_raittenvelder_QGW_II_I_1576	Erhart purger	Erhard Raittenvelder	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
598	pe__johann_raittenvelder_QGW_II_I_1576	Hanns, purger gebrueder die Raittenvelder	Johann Raittenvelder	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
599	pe__ruediger_snurer_QGW_II_I_1557	Rueger der Snuerer, all drei purger ze Wienn	Rüdiger Snurer	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
600	pe__sophia_QGW_II_I_1576	Sophoi, Hannsen hausfrau	Sophia Raittenvelder	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
601	pe__sigmund_wuerfel	Sigmunden dem Wu/erfel	Sigmund Würfel Würfel	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
602	pe__erhard_raittenvelder_QGW_II_I_1576	Ausstellern	Erhard Raittenvelder	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
603	pe__johann_raittenvelder_QGW_II_I_1576	Ausstellern	Johann Raittenvelder	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
604	pe__ruediger_snurer_QGW_II_I_1557	Ausstellern	Rüdiger Snurer	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
605	pe__sophia_QGW_II_I_1576	Ausstellern	Sophia Raittenvelder	f	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1576	1576	1404-02-15			False	 	1404		
606	pe__anna_QGW_II_I_1577	Anna, witib Hansen witib des Messenpekchen	Anna Messenbacher Mezzenbekch Messenpekch	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1577	1577	1404-02-18			False	 	1404		
607	pe__johann_messenbacher_QGW_II_I_1577	Hansen witib des Messenpekchen	Johann Messenbacher Mezzenbekch Messenpekch	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1577	1577	1404-02-18			True	[datetime.date(1404, 2, 18)]	1404		
608	pe__ulrich_wuerfel	Bruder Ulreich dem Würffl	Ulrich Würfel Würfel	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1577	1577	1404-02-18			False	 	1404		
609	pe__haunold_schuchler_II_QGW_II_I_1557	hern Haunolts des Schuhler rates der stat	Haunold Schuchler der Jüngere II	m	hern	Herr	 	 	 	 	 	 	rates der stat	Ratsherr	witness	#ev__QGW_II_I_1577	1577	1404-02-18			False	 	1404		
610	pe__albrecht_zetter	hern Albrechts des Zetter, pait des rates der stat zu Wienn	Albrecht Zetter	m	hern	Herr	 	 	 	 	 	 	rates der stat	Ratsherr	witness	#ev__QGW_II_I_1577	1577	1404-02-18			False	 	1404		
611	pe__wilhelm_herzog_von_oesterreich	Herzog Wilhelm	Herzog Wilhelm	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1578	1578	1404-03-20			False	 	1404		
612	pe__albrecht_der_riemer_QGW_II_I_1579	Albrecht, der riemer purger ze Wienn	Albrecht der Riemer	m	 	 	 	 	riemer	Riemer	 	 	 	 	issuer	#ev__QGW_II_I_1579	1579	1404-04-19			False	 	1404		
613	pe__konrad_vorlauf	Bürgermeisters hern Chunraten des Vorlauffs	Konrad Vorlauf Vorlauf	m	hern	Herr	 	 	 	 	 	 	Bürgermeisters	Buergermeister	other	#ev__QGW_II_I_1579	1579	1404-04-19			False	 	1404		
614	pe__paul_wagendruessel_ii	Wiener Bürgers Pauln des Wagendrussel	Paul Wagendrüssel	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1579	1579	1404-04-19			False	 	1404		
615	pe__konrad_der_riemer_QGW_II_I_1580	Chunrat, der riemer purger ze Wienn	Konrad der Riemer	m	 	 	 	 	riemer	Riemer	 	 	 	 	issuer	#ev__QGW_II_I_1580	1580	1404-04-21			False	 	1404		
616	pe__kunigunde_QGW_II_I_1580	Ku/enigund, seine Hausfrau	Kunigunde	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1580	1580	1404-04-21			False	 	1404		
617	pe__albrecht_der_riemer_QGW_II_I_1579	Albrecht, der riemer purger ze Wienn, sein aidem	Albrecht der Riemer	m	 	 	 	 	riemer	Riemer	 	 	 	 	issuer	#ev__QGW_II_I_1580	1580	1404-04-21			False	 	1404		
618	pe__niklas_irrensteig_QGW_II_I_1580	Niklasen, sun Pauln sun des Irrensteigs got gnad sun bei fraun Annen, seiner hausfraun den baiden got gnad der zu den Zeiten innerlandes nicht ist	Niklas Irrensteig	m	fraun	Frau	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1580	1580	1404-04-21			False	 	1404		
619	pe__paul_irrensteig_QGW_II_I_1580	Pauln sun des Irrensteigs got gnad	Paul Irrensteig	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1580	1580	1404-04-21			True	[datetime.date(1404, 4, 21)]	1404		
620	pe__anna_QGW_II_I_1580	fraun Annen, seiner hausfraun den baiden got gnad	Anna Irrensteig	f	fraun	Frau	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1580	1580	1404-04-21			True	[datetime.date(1404, 4, 21)]	1404		
621	pe__paul_wagendruessel_ii	Wiener Bürgers Pauln des Wagendrussel	Paul Wagendrüssel	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1580	1580	1404-04-21			False	 	1404		
622	pe__johann_schoenknecht	Hanns der Scho/enknecht, purger ze Wienn	Johann Schönknecht	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1581	1581	1404-04-22			False	 	1404		
623	pe__albrecht_stekch	Grundherrn hern Albrechts des Stekchen, chorherr ze Neunburg und pharrer zu der Heiligenstat	Albrecht Stekch	m	Grundherrn; hern	Grundherr_frau; Herr	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1581	1581	1404-04-22			False	 	1404		
624	pe__johann_schoenknecht	Ausstellers	Johann Schönknecht	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1581	1581	1404-04-22			False	 	1404		
625	pe__albrecht_stekch	Grundherrn	Albrecht Stekch	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1581	1581	1404-04-22			False	 	1404		
