	collection	xml	date	event	catchwords	normed
138	1448	01418-eintrag_vom_1448-09-06.xml	1448-09-06	ev__SB_CD_01418	habent emphangen nucz und gewer | mit kauff an sy komen ist	 
139	1448	01418-eintrag_vom_1448-09-06.xml	1448-09-06	ev__SB_CD_01418_nota	Erratum est.	 
140	1448	01429-eintrag_vom_1448-02-20.xml	1448-02-20	ev__SB_CD_01429	habent versaczt	Satz
141	1448	01430-eintrag_vom_1448-03-04.xml	1448-03-04	ev__SB_CD_01430	habent versaczt	Satz
142	1448	01431-eintrag_vom_1448-07-08.xml	1448-07-08	ev__SB_CD_01431	hat verchaufft | gelts purkrechts	Burgrecht
143	1448	01432-eintrag_vom_1448-07-10.xml	1448-07-10	ev__SB_CD_01432	hat verchaufft | gelts purkrechts	Burgrecht
144	1448	01433-eintrag_vom_1448-07-29.xml	1448-07-29	ev__SB_CD_01433	habent versaczt	Satz
145	1448	01434-eintrag_vom_1448-06-14.xml	1448-06-14	ev__SB_CD_01434	hat versaczt die uberteurung	Satz_Ueberteurung
146	1448	01434-eintrag_vom_1448-06-14.xml	1448-06-14	NULL	uber die | gelts purkrechts | vor darauf hat	Burgrecht
147	1448	01434-eintrag_vom_1448-06-14.xml	1448-06-14	NULL	und uber die | darauf habent	Kredit_unbestimmt
148	1448	01686-eintrag_vom_1448-04-22.xml	1448-04-22	ev__SB_CD_01686	habent versaczt	Satz
149	1448	01687-eintrag_vom_1448-05-27.xml	1448-05-27	ev__SB_CD_01687	habent versaczt	Satz
150	1448	01693-eintrag_vom_1448-12-13.xml	1448-12-13	ev__SB_CD_01693	hat versatzt die uberteurung	 
151	1448	01693a-eintrag_vom_1448.xml	1448-01-01	ev__SB_CD_01693a	habent versaczt	Satz
152	1448	01767-eintrag_vom_1448-06-23.xml	1448-06-23	ev__SB_CD_01767	hat verkaufft | gelts purkrechts	Burgrecht
153	1448	01768-eintrag_vom_1448-06-28.xml	1448-06-28	ev__SB_CD_01768	hat versaczt	Satz
154	1448	01840-eintrag_vom_1448-04-19.xml	1448-04-19	ev__SB_CD_01840	habent versatzt	Satz
155	1448	01841-eintrag_vom_1448-08-13.xml	1448-08-13	ev__SB_CD_01841	hat versatzt	Satz
156	1448	01842-eintrag_vom_1448-11-27.xml	1448-11-27	ev__SB_CD_01842	hat verkaufft | geltes purkrechts	Burgrecht
157	1448	01926-eintrag_vom_1448-12-20.xml	1448-12-20	ev__SB_CD_01926	hat versatzt	Satz
