	main_ID	ID	name_reg | name_orig	type	observance	linking	fn_role	event	collection	xml	date	text	text normed
150	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	dem chirchmaister hincz Sand Stephan ze Wienn zu dem paw	 
151	org__oesterreich-herzogtum	org__oesterreich-herzogtum	Herzogtum Österreich | 	Herzogtum	 	corresp	other	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	hofmaister in Osterreich	 
152	org__oesterreich-herzogtum	org__oesterreich-herzogtum	Herzogtum Österreich | 	Herzogtum	 	corresp	other	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	die zeit hubmaister in Osterreich	 
153	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	die zeit statschreiber zu Wienn	 
154	org__wien-schotten	org__wien-schotten	Schottenkloster Wien | 	Kloster_m	OSB	ref	recipient	ev__StB_I_74	1_1395-1400	74.xml	1396-07-15	dem predinger zu den Schottens	 
155	org__wien-karmeliter	org__wien-karmeliter	Karmeliter-Weissenbrüder | 	Kloster_m	OCarm	ref	recipient	ev__StB_I_74	1_1395-1400	74.xml	1396-07-15	den Weizzen prudern	 
156	org__wien-minoriten	org__wien-minoriten	Minoriten | 	Kloster_m	OFMConv	ref	recipient	ev__StB_I_74	1_1395-1400	74.xml	1396-07-15	zu den Mynnern prudern	 
157	org__wien	org__wien	Wien | 	Stadt	 	corresp	other	ev__StB_I_74	1_1395-1400	74.xml	1396-07-15	statrichter ze Wienn	Richter_Stadt
158	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_74	1_1395-1400	74.xml	1396-07-15	gesworner des rats	Ratsherr
159	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_78	1_1395-1400	78.xml	1396-08-31	purgermaister	Buergermeister
160	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_78	1_1395-1400	78.xml	1396-08-31	rats	Ratsherr
161	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	other	ev__StB_I_8	1_1395-1400	8.xml	1395-12-07	techent	Dechant
162	org__wien-schotten	org__wien-schotten	Schottenkloster Wien | 	Kloster_m	OSB	ref	recipient	ev__StB_I_81	1_1395-1400	81.xml	1396-08-23	dem prediger hincz den Schotten	 
163	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_83	1_1395-1400	83.xml	1396-09-14	gesworner des rats	Ratsherr
164	org__wien	org__wien	Wien | 	Stadt	 	corresp	other	ev__StB_I_84	1_1395-1400	84.xml	1396-09-09	gesworner des rats	Ratsherr
165	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_84	1_1395-1400	84.xml	1396-09-09	rats	Ratsherr
166	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_84	1_1395-1400	84.xml	1396-09-09	rats	Ratsherr
167	org__wien-st_michael	org__wien-st_michael	St. Michael | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_85	1_1395-1400	85.xml	1396-09-28	Sand Michel	 
